# cfgfile = ./single-default/TOS2/TOS2.1803.meiyo_m4-res.dat
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1,dV0,gradV1e,gradV1n,gradV2e,gradV2n,dV,LogResidual
4443,S04,L20,M04,3.249879,4.50328674898005e-05,43.048139557442596,-0.00015957759826311471,False,52764.39638,729.86935,-286.09843,16.81715,358.06,0.06,-1.2,52768.707815,737.61461,-274.07863,15.93739,356.36,0.54,2.35,-0.26285352499678183,0.03578061254983406,-0.0826285081140931,0.029758677078004295,0.005568527176173312,-0.23753998565769632,1.3856782818622015e-05
4444,S04,L20,M01,3.011205,6.398460431703527e-05,37.70800921236511,-0.00013834787994049247,False,52765.48641,731.72999,-282.95033,16.36469,357.76,-0.11,-0.31,52769.55917,738.85641,-271.62807,16.03408,356.02,0.05,1.92,-0.26284502643165947,0.03576480488112597,-0.08263131473780486,0.029765080708534987,0.005574394040899615,-0.2059383884362757,2.1248837032694645e-05
4445,S04,L20,M01,2.999215,1.4948877593384095e-05,37.4092216537415,-0.00013945025647878965,False,52774.39643,745.48843,-257.46551,16.5266,355.37,0.14,-0.23,52778.4572,751.75795,-245.15716,16.04256,353.86,-0.06,1.61,-0.2627670070973218,0.035619776406377535,-0.08265702684955234,0.029823795033206132,0.005628145935773092,-0.207579336225606,4.984263413387868e-06
4446,S04,L20,M02,2.422914,4.2452942519941935e-05,9.848688198913038,-0.00012506700608126394,False,52775.486455,747.10467,-254.25128,16.54604,354.9,0.89,0.23,52778.970925,752.55564,-243.6699,16.07458,353.82,-0.21,1.73,-0.2627599760949168,0.03560671356289288,-0.08265934006527155,0.029829080840605947,0.0056329820171886445,-0.18616908108750096,1.7521440100615182e-05
4447,S04,L20,M02,2.416429,5.6453207491567185e-05,8.917685851648656,-0.0001262633715353108,False,52784.39656,759.71449,-227.35887,16.22039,354.22,0.36,0.1,52787.874545,763.75441,-216.44066,16.47314,353.76,-0.27,-0.81,-0.2626818030808985,0.035461589762662823,-0.0826849998478181,0.029887764811900835,0.005686628684538031,-0.18794993652014816,2.336224548354915e-05
4448,S04,L20,M03,2.719703,1.6945075835331973e-05,29.096950749029446,-0.00014704440706958614,False,52785.48659,761.08372,-223.97925,16.4275,353.92,0.61,-0.04,52789.26785,766.03641,-212.03385,16.10751,354.08,-0.37,0.29,-0.26267089468712734,0.03544135504354641,-0.08268857240600933,0.02989594181959163,0.005694097823840739,-0.21888364486324982,6.2304876066732184e-06
4449,S04,L20,M03,2.738193,-1.461440145283969e-05,29.779549909303626,-0.00014837285983304268,False,52794.39665,772.54549,-195.95127,16.60964,353.19,-0.18,-0.9,52798.1964,778.53409,-183.64339,16.08164,353.46,0.24,1.48,-0.26259246102868194,0.035295979088587476,-0.08271420543698586,0.029954653563190027,0.005747687147007574,-0.22086111948257633,-5.337243011299675e-06
4450,S04,L20,M04,3.277834,5.5267766823127414e-05,43.56529524557112,-0.00016397465336978089,False,52795.486575,773.78396,-192.41258,16.34921,353.31,-0.69,-1.38,52799.825965,780.52571,-178.29923,16.51189,353.08,0.52,1.31,-0.26258049025451746,0.03527381258602427,-0.08271810802690333,0.02996359947108212,0.005755845572123006,-0.24408524275105997,1.6861063380002594e-05
4451,S04,L20,M04,3.285359,-2.260084676980049e-05,43.71127056202931,-0.00016540482513400777,False,52804.396645,785.95528,-163.17109,16.27502,352.79,0.27,0.76,52808.74356,791.50599,-148.12355,16.14653,352.05,-0.53,0.27,-0.26250193458860127,0.03512847795933617,-0.08274366288831773,0.030022217495339218,0.0058092640503395925,-0.246214131668177,-6.879262439751788e-06
4452,S04,L20,M01,2.95323,-5.143243853404851e-05,36.22967755519798,-0.00014390007551056053,False,52805.486575,787.4665,-159.47311,16.23939,352.52,0.38,1.45,52809.50136,792.40941,-145.5545,16.41462,352.05,-0.22,0.02,-0.262493784471518,0.035113412770099134,-0.08274630865960961,0.030028290171568894,0.0058147941082253695,-0.2142031353082528,-1.741565625909547e-05
4453,S04,L20,M01,2.93836,-6.985217502140359e-05,35.84334133105256,-0.00014539107244839752,False,52814.396765,798.18409,-128.13174,16.30612,351.76,0.12,0.55,52818.39668,802.8042,-113.85785,15.90599,350.99,0.04,1.02,-0.2624151480573767,0.03496821497007146,-0.08277177288682863,0.030086777534829332,0.005868010458882894,-0.2164225658240919,-2.3772504057162358e-05
4454,S04,L20,M02,2.397649,-6.115389760221158e-05,5.440764863918474,-0.00013102822245713991,False,52815.486685,799.34738,-124.28284,16.40744,351.53,0.32,0.53,52818.94589,803.62229,-111.85379,15.87493,350.96,-0.08,1.39,-0.26240790150143606,0.03495484673603886,-0.08277411473609064,0.030092159366353094,0.005872903923694963,-0.19504267780684267,-2.5505775700367973e-05
4455,S04,L20,M02,2.394154,-4.44975725887659e-05,4.383716615190423,-0.00013261732812656983,False,52824.396785,808.96459,-91.60589,16.72661,350.89,0.12,-0.91,52827.852495,813.50711,-78.61625,15.98921,349.75,0.57,1.7,-0.2623290236811524,0.034809516183241074,-0.0827995374381878,0.030150623649294987,0.0059260155206578855,-0.1974081485372804,-1.8585927466974097e-05
4456,S04,L20,M03,2.809563,-2.862565453974649e-05,32.23565138127921,-0.0001537619664730686,False,52825.486815,810.52662,-87.45537,16.39864,350.57,0.62,0.57,52829.357935,814.82319,-72.98778,15.91955,349.57,-0.58,0.01,-0.2623175166487857,0.034788341738724096,-0.08280323631494024,0.03015913551441744,0.005933741223370734,-0.22888309955943434,-1.018865017077264e-05
4457,S04,L20,M03,2.831793,4.204208965929904e-05,32.9359748623734,-0.00015547978954592932,False,52834.39686,820.0088,-53.96826,16.35961,348.18,0.1,1.41,52838.29021,823.815,-38.85381,16.03337,346.33,-0.66,0.26,-0.26223830688093897,0.034642760688052,-0.0828286358772371,0.030217618070406117,0.005986779681324784,-0.23144017318713106,1.4846455817674187e-05
4458,S04,L20,M04,3.311629,9.154636848275397e-05,44.17827581036201,-0.0001711456103332844,False,52835.486785,821.24573,-49.85289,16.21843,347.58,0.58,1.8,52839.85997,825.06022,-33.02282,16.30177,345.7,-0.43,-0.63,-0.26222648089961687,0.03462105627492486,-0.08283241735143394,0.030226330397462062,0.005994673688634297,-0.25475960452115,2.764390832510344e-05
4459,S04,L20,M04,3.317709,4.025710471196422e-05,44.28838365358436,-0.00017291275431938145,False,52844.39697,828.93657,-15.75357,15.96976,341.32,0.22,1.39,52848.776235,832.29101,0.4857,16.42572,335.42,-0.29,1.53,-0.26214710561755505,0.034475565161786445,-0.0828577353493809,0.03028469213462466,0.006047510954647093,-0.2573900950265934,1.2134007145281345e-05
4460,S04,L20,M01,2.88545,-2.890259046581614e-05,34.36263907139474,-0.00015112818619242876,False,52845.48679,829.96937,-11.61536,15.8263,340.02,-0.07,1.73,52849.433795,832.60433,2.89142,16.46201,334.41,-0.29,1.47,-0.2621393147828474,0.03446130226531978,-0.0828602146161877,0.030290409897233445,0.006052683594793433,-0.22496257351506335,-1.0016666539297558e-05
4461,S04,L20,M01,2.87004,-3.2934175630983776e-05,33.90935229895001,-0.00015279185172945104,False,52854.396995,834.13797,20.50509,16.47639,325.83,0.79,1.28,52858.32859,835.11204,33.55183,15.79412,317.02,0.05,3.75,-0.2620597943838192,0.03431595044228761,-0.08288544670437142,0.030348633155471302,0.006105306565091994,-0.22743903068765398,-1.1475162586926935e-05
4462,S04,L20,M02,2.388074,-3.3871516306871295e-05,1.8445818501955955,-0.0001384230721668453,False,52855.487855,834.45274,24.26446,16.31483,323.58,0.81,2.04,52858.937485,835.11273,35.37864,15.81601,315.66,-0.09,3.5,-0.26205219231492466,0.034302072956146706,-0.0828878531504717,0.030354188467803765,0.006110323707136199,-0.20605031617904054,-1.4183612529122336e-05
4463,S04,L20,M02,2.388899,-3.560315353187856e-05,2.1018062114533507,-0.00013988344980229124,False,52864.39697,833.34081,50.93071,16.78204,304.32,0.42,2.13,52867.847425,831.65464,59.65174,16.041,295.91,0.58,3.01,-0.26197235343836434,0.03415657256963177,-0.08291305055192458,0.03041238690796659,0.006162833885028449,-0.20822416818805922,-1.4903582584227526e-05
4464,S04,L20,M03,2.893728,-2.152710366394057e-07,34.77569431390094,-0.0001612755588101761,False,52865.487,832.82289,53.81875,16.57448,301.72,0.85,2.53,52869.442285,830.97826,63.10873,15.84573,292.38,0.15,2.88,-0.26196030113650004,0.03413464652471818,-0.08291684260714648,0.03042114982680997,0.006170732587017681,-0.24006749282904297,-7.439228449923618e-08
4465,S04,L20,M03,2.900888,2.3681747738125285e-05,34.96576799428098,-0.00016241123557177782,False,52874.397105,827.83663,72.25775,16.47836,281.66,-1.01,2.67,52878.35955,824.42354,78.74236,16.45903,275.47,1.41,3.15,-0.26188013939301646,0.033989044742325,-0.08294199518277104,0.030479298157653087,0.006223100840578944,-0.24175800982264914,8.163620152906725e-06
4466,S04,L20,M04,3.314119,6.671739547967381e-05,44.217724196925445,-0.00017798339117981014,False,52875.48703,826.91361,74.07546,16.71803,279.79,-0.53,2.35,52879.862705,823.16788,80.67881,15.96044,273.55,1.17,3.39,-0.26186845651756574,0.0339678637666644,-0.08294564943301849,0.030487750007278852,0.006230705001389615,-0.2649380154127346,2.0131261273259593e-05
4467,S04,L20,M04,3.307834,2.7968999645785014e-05,44.10542111582464,-0.00017875969770422956,False,52884.39719,819.72928,85.19883,16.31961,270.69,-0.85,2.25,52888.76658,815.41718,89.18312,16.52219,270.76,1.03,1.25,-0.2617880538432295,0.03382233966043802,-0.08297072776048486,0.030545775138495414,0.006282864395684361,-0.26609359014680545,8.455381873995194e-06
4468,S04,L20,M01,2.830395,-3.036378884829097e-05,32.68343565643454,-0.00015657673276618658,False,52885.487115,818.68052,86.43849,16.51641,270.16,-0.55,2.76,52889.379065,814.84271,89.68275,16.43089,271.12,1.21,1.08,-0.26178035756882045,0.03380843134737231,-0.08297312217580796,0.03055131706677275,0.0062878421040904655,-0.2330730331852969,-1.0727756672934685e-05
4469,S04,L20,M01,2.82167,-6.615566451703605e-05,32.416802504586144,-0.00015718528861640612,False,52894.397215,810.42894,93.67654,16.05229,274.24,-0.99,-0.37,52898.28044,806.29799,97.72688,16.66339,275.98,0.31,0.87,-0.2616996632083828,0.03366290021591653,-0.08299814467810991,0.030609255013516794,0.0063398279164010325,-0.23397890186302137,-2.3445571068564375e-05
4470,S04,L20,M02,2.391634,-4.278250925083311e-05,3.470701971532634,-0.00014271012859756973,False,52895.48724,809.37107,94.52938,16.29608,274.91,-0.82,-0.89,52898.94043,805.50053,98.46823,16.60252,276.16,0.42,1.1,-0.2616917208103522,0.03364860028108233,-0.08300060087884122,0.030614943937386684,0.006344928094578697,-0.2124318342251321,-1.788840150743513e-05
4471,S04,L20,M02,2.392599,-4.435358248802803e-05,3.9185556067317293,-0.00014344853556009268,False,52904.39741,799.25254,103.92851,16.15425,277.29,-0.2,-0.33,52907.851565,795.05135,107.70638,16.38413,276.32,-0.14,0.16,-0.26161066219343593,0.033502962709213074,-0.08302558556320092,0.030672832122126528,0.0063967721211956995,-0.21353099338779877,-1.8537825389055174e-05
4472,S04,L20,M03,2.905843,4.872127478110944e-06,35.11486698330327,-0.00016507016057160017,False,52905.48734,797.99953,105.13453,16.25724,277.05,-0.26,-0.01,52909.45474,792.86362,109.71568,16.40836,275.55,-0.1,0.81,-0.26159838482090586,0.03348095227857923,-0.0830293568535842,0.03068157293737362,0.006404591972323617,-0.24571596515721492,1.6766657655320483e-06
4473,S04,L20,M03,2.905493,4.9618952010694085e-05,35.10214864474855,-0.000165948728223841,False,52914.39734,785.51858,115.09077,16.13719,273.65,0.14,0.94,52918.36439,778.68706,118.73585,16.59285,272.9,-0.4,-0.01,-0.2615169818390761,0.033335302915490306,-0.08305428593215206,0.03073936722073164,0.006456248333725956,-0.24702376117485209,1.7077636053741685e-05
4474,S04,L20,M04,3.274504,1.783359382090833e-05,43.507609449295444,-0.00018153622091625438,False,52915.48737,783.71221,116.14363,16.23379,273.25,-0.37,0.61,52919.82343,775.95526,120.16417,16.39849,272.9,0.11,0.72,-0.2615053099186854,0.03331446623361879,-0.08305784803036989,0.030747627781740682,0.006463623711065467,-0.2702265968541453,5.446196987668461e-06
4475,S04,L20,M04,3.259254,3.3285706769620616e-05,43.225624076980466,-0.00018244925946700748,False,52924.3975,767.07581,125.08637,16.09785,273.77,-0.06,2.7,52928.71831,758.14893,128.22486,16.48556,279.0,-0.19,-1.8,-0.26142360808824594,0.033168913496241195,-0.08308270462102453,0.03080528394760291,0.006515052152316092,-0.2715857046901538,1.0212676511134333e-05
4476,S04,L20,M01,2.78191,-4.78823922923047e-05,31.105621999256556,-0.0001599821190161983,False,52925.48753,764.93136,125.82689,16.23724,274.63,-0.24,1.15,52929.330995,756.87142,128.95569,16.47562,279.88,0.02,-1.5,-0.26141577962162665,0.033154993229062193,-0.08308507960403269,0.03081079393863398,0.006519962707849698,-0.2381421369303786,-1.7212056569876344e-05
